@relation folhas_neem

@attribute area_folha numeric
@attribute area_manchas numeric
@attribute cor_media numeric
@attribute classe {saudavel,doente}

@data
12742.00,294695.00,173.35,doente
16269.00,291366.00,171.70,doente
15950.00,291678.00,172.22,doente
15772.00,291502.00,167.03,doente
15339.00,292306.00,177.30,doente
13845.00,293612.00,166.62,doente
19512.00,288343.00,172.37,doente
7639.00,300001.00,165.31,doente
7649.00,299803.00,163.45,doente
9747.00,297777.00,162.08,doente
13082.00,294496.00,161.75,doente
10193.00,297319.00,168.46,doente
8835.00,298602.00,158.71,doente
10648.00,296774.00,166.90,doente
9664.00,297877.00,164.17,doente
14959.00,254182.00,165.63,doente
7120.00,300343.00,165.49,doente
18488.00,289297.00,179.51,doente
20796.00,286710.00,167.88,doente
14330.00,293236.00,169.45,doente
19598.00,287842.00,166.04,doente
18014.00,289450.00,173.04,doente
11733.00,295588.00,167.58,doente
10418.00,296966.00,166.46,doente
14869.00,292404.00,167.96,doente
14107.00,293225.00,165.64,doente
13929.00,293261.00,166.60,doente
15916.00,291311.00,164.68,doente
22326.00,285677.00,174.98,doente
14383.00,292886.00,178.14,doente
11682.00,295553.00,167.83,doente
20483.00,287877.00,167.64,doente
23311.00,284599.00,164.99,doente
18175.00,290197.00,165.45,doente
13563.00,293581.00,166.15,doente
15544.00,291584.00,165.28,doente
15752.00,291373.00,167.43,doente
15462.00,291629.00,166.66,doente
13220.00,293944.00,164.39,doente
26195.00,281744.00,176.52,doente
9365.00,297868.00,163.70,doente
14571.00,292640.00,166.75,doente
20447.00,287150.00,165.17,doente
17245.00,289893.00,165.01,doente
10693.00,296695.00,166.91,doente
10054.00,297060.00,166.46,doente
10453.00,296781.00,165.45,doente
9285.00,297903.00,167.84,doente
8160.00,299047.00,167.58,doente
8164.00,299062.00,165.47,doente
17271.00,290672.00,176.58,doente
11899.00,295281.00,166.45,doente
10685.00,296562.00,169.60,doente
10759.00,296466.00,169.62,doente
7993.00,299204.00,164.63,doente
9184.00,298032.00,166.38,doente
21598.00,286249.00,173.28,doente
25053.00,283325.00,179.77,doente
25342.00,282847.00,176.93,doente
30149.00,277888.00,177.50,doente
29217.00,278862.00,178.55,doente
9049.00,298616.00,169.13,doente
31717.00,276153.00,174.74,doente
33609.00,274477.00,176.13,doente
12138.00,295209.00,191.91,doente
10098.00,297587.00,168.93,doente
21992.00,285797.00,173.67,doente
21988.00,285782.00,175.13,doente
22975.00,284893.00,173.09,doente
5797.00,301627.00,166.95,doente
32548.00,275724.00,178.84,doente
42622.00,266166.00,174.36,doente
21247.00,286599.00,170.61,doente
21600.00,286132.00,173.45,doente
21958.00,285902.00,172.71,doente
37155.00,271080.00,175.50,doente
25341.00,282686.00,178.88,doente
25042.00,283125.00,177.08,doente
28037.00,280066.00,173.86,doente
27225.00,280850.00,176.31,doente
23257.00,284490.00,174.72,doente
5608.00,301690.00,169.11,doente
22183.00,285554.00,170.69,doente
20464.00,287324.00,173.44,doente
19387.00,288697.00,173.00,doente
17224.00,290727.00,176.63,doente
